origin,destination,fare,f
Mawanalla,Panadura,745.0,"[:Fare {fare: 745.0, route_id: route_db78ea66_57_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Kalutara,830.0,"[:Fare {fare: 830.0, route_id: route_db78ea66_56_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Aluthgama,930.0,"[:Fare {fare: 930.0, route_id: route_db78ea66_55_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Ambalangoda,1060.0,"[:Fare {fare: 1060.0, route_id: route_db78ea66_54_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Matara,1470.0,"[:Fare {fare: 1470.0, route_id: route_db78ea66_51_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Negambo,590.0,"[:Fare {fare: 590.0, route_id: route_db78ea66_367_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Kaduwela,550.0,"[:Fare {fare: 550.0, route_id: route_db78ea66_260_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Awissawella,445.0,"[:Fare {fare: 445.0, route_id: route_db78ea66_191_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Galigamuwa,190.0,"[:Fare {fare: 190.0, route_id: route_db78ea66_193_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Nittabuwa,380.0,"[:Fare {fare: 380.0, route_id: route_db78ea66_328_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Minuwangoda,480.0,"[:Fare {fare: 480.0, route_id: route_db78ea66_368_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Kiribathgoda,535.0,"[:Fare {fare: 535.0, route_id: route_db78ea66_326_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Yakkala,435.0,"[:Fare {fare: 435.0, route_id: route_db78ea66_327_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Warakapola,290.0,"[:Fare {fare: 290.0, route_id: route_db78ea66_329_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Kegalle,160.0,"[:Fare {fare: 160.0, route_id: route_db78ea66_330_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Kegalle,160.0,"[:Fare {fare: 160.0, route_id: route_db78ea66_236_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Peradeniya,190.0,"[:Fare {fare: 190.0, route_id: route_db78ea66_475_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Nugegoda,715.0,"[:Fare {fare: 715.0, route_id: route_db78ea66_188_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Nugegoda,635.0,"[:Fare {fare: 635.0, route_id: route_db78ea66_259_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Balummahara,445.0,"[:Fare {fare: 445.0, route_id: route_db78ea66_261_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Dikwella,1580.0,"[:Fare {fare: 1580.0, route_id: route_db78ea66_50_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Beliatta,1655.0,"[:Fare {fare: 1655.0, route_id: route_db78ea66_49_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Ahangama,1340.0,"[:Fare {fare: 1340.0, route_id: route_db78ea66_52_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Walasmulla,1745.0,"[:Fare {fare: 1745.0, route_id: route_db78ea66_48_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Aguruwalla,320.0,"[:Fare {fare: 320.0, route_id: route_db78ea66_192_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Makumbura,660.0,"[:Fare {fare: 660.0, route_id: route_db78ea66_189_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Kaluaggala,535.0,"[:Fare {fare: 535.0, route_id: route_db78ea66_190_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Padukka,600.0,"[:Fare {fare: 600.0, route_id: route_db78ea66_204_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Pugoda,490.0,"[:Fare {fare: 490.0, route_id: route_db78ea66_205_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Aththanagalla,400.0,"[:Fare {fare: 400.0, route_id: route_db78ea66_206_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Kadugannwa,120.0,"[:Fare {fare: 120.0, route_id: route_db78ea66_476_1767932356, route_type: Normal Route, fare_type: AC}]"
Mawanalla,Horana,700.0,"[:Fare {fare: 700.0, route_id: route_db78ea66_203_1767932356, route_type: Normal Route, fare_type: AC}]"
Galle,Hambantota,350.0,"[:Fare {fare: 350.0, route_id: G001}]"
Mount Lavinia,Panadura,160.0,"[:Fare {fare: 160.0, route_id: route_db78ea66_229_1767932356, route_type: Normal Route, fare_type: AC}]"
Mount Lavinia,Ja Ela,245.0,"[:Fare {fare: 245.0, route_id: route_db78ea66_402_1767932356, route_type: Normal Route, fare_type: AC}]"
Mount Lavinia,Wattala,190.0,"[:Fare {fare: 190.0, route_id: route_db78ea66_403_1767932356, route_type: Normal Route, fare_type: AC}]"
Mount Lavinia,Katunayake,315.0,"[:Fare {fare: 315.0, route_id: route_db78ea66_401_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Mount Lavinia,160.0,"[:Fare {fare: 160.0, route_id: route_db78ea66_4_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Kalutara,165.0,"[:Fare {fare: 165.0, route_id: route_db78ea66_487_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Aluthgama,270.0,"[:Fare {fare: 270.0, route_id: route_db78ea66_486_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Ambalangoda,400.0,"[:Fare {fare: 400.0, route_id: route_db78ea66_485_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Matara,950.0,"[:Fare {fare: 950.0, service_type: Super Luxury, route_type: Southern Expressway, created_at: 2026-01-09T11:02:17.860000000Z, source: Expressway Fare Ad - 2024-10-02, fare_type: AC}]"
Panadura,Matara,810.0,"[:Fare {fare: 810.0, route_id: route_db78ea66_482_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Ja Ela,320.0,"[:Fare {fare: 320.0, route_id: route_db78ea66_406_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Wattala,270.0,"[:Fare {fare: 270.0, route_id: route_db78ea66_407_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Katunayake,390.0,"[:Fare {fare: 390.0, route_id: route_db78ea66_405_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Dikwella,920.0,"[:Fare {fare: 920.0, route_id: route_db78ea66_481_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Beliatta,995.0,"[:Fare {fare: 995.0, route_id: route_db78ea66_480_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Ahangama,680.0,"[:Fare {fare: 680.0, route_id: route_db78ea66_483_1767932356, route_type: Normal Route, fare_type: AC}]"
Panadura,Walasmulla,1085.0,"[:Fare {fare: 1085.0, route_id: route_db78ea66_479_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Mount Lavinia,245.0,"[:Fare {fare: 245.0, route_id: route_db78ea66_6_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Panadura,165.0,"[:Fare {fare: 165.0, route_id: route_db78ea66_7_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Aluthgama,180.0,"[:Fare {fare: 180.0, route_id: route_db78ea66_478_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Ambalangoda,315.0,"[:Fare {fare: 315.0, route_id: route_db78ea66_477_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Matara,725.0,"[:Fare {fare: 725.0, route_id: route_db78ea66_474_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Ja Ela,415.0,"[:Fare {fare: 415.0, route_id: route_db78ea66_411_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Wattala,360.0,"[:Fare {fare: 360.0, route_id: route_db78ea66_412_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Katunayake,480.0,"[:Fare {fare: 480.0, route_id: route_db78ea66_410_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Dikwella,830.0,"[:Fare {fare: 830.0, route_id: route_db78ea66_473_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Beliatta,910.0,"[:Fare {fare: 910.0, route_id: route_db78ea66_472_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Ahangama,590.0,"[:Fare {fare: 590.0, route_id: route_db78ea66_475_1767932356, route_type: Normal Route, fare_type: AC}]"
Kalutara,Walasmulla,995.0,"[:Fare {fare: 995.0, route_id: route_db78ea66_471_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Mount Lavinia,345.0,"[:Fare {fare: 345.0, route_id: route_db78ea66_9_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Panadura,270.0,"[:Fare {fare: 270.0, route_id: route_db78ea66_10_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Kalutara,180.0,"[:Fare {fare: 180.0, route_id: route_db78ea66_11_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Ambalangoda,210.0,"[:Fare {fare: 210.0, route_id: route_db78ea66_470_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Matara,620.0,"[:Fare {fare: 620.0, route_id: route_db78ea66_467_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Ja Ela,510.0,"[:Fare {fare: 510.0, route_id: route_db78ea66_417_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Wattala,460.0,"[:Fare {fare: 460.0, route_id: route_db78ea66_418_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Katunayake,580.0,"[:Fare {fare: 580.0, route_id: route_db78ea66_416_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Dikwella,735.0,"[:Fare {fare: 735.0, route_id: route_db78ea66_466_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Beliatta,810.0,"[:Fare {fare: 810.0, route_id: route_db78ea66_465_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Ahangama,490.0,"[:Fare {fare: 490.0, route_id: route_db78ea66_468_1767932356, route_type: Normal Route, fare_type: AC}]"
Aluthgama,Walasmulla,900.0,"[:Fare {fare: 900.0, route_id: route_db78ea66_464_1767932356, route_type: Normal Route, fare_type: AC}]"
Balapitiya,Mount Lavinia,445.0,"[:Fare {fare: 445.0, route_id: route_db78ea66_13_1767932356, route_type: Normal Route, fare_type: AC}]"
Balapitiya,Panadura,365.0,"[:Fare {fare: 365.0, route_id: route_db78ea66_14_1767932356, route_type: Normal Route, fare_type: AC}]"
Balapitiya,Kalutara,280.0,"[:Fare {fare: 280.0, route_id: route_db78ea66_15_1767932356, route_type: Normal Route, fare_type: AC}]"
Balapitiya,Aluthgama,180.0,"[:Fare {fare: 180.0, route_id: route_db78ea66_16_1767932356, route_type: Normal Route, fare_type: AC}]"
Balapitiya,Ja Ela,615.0,"[:Fare {fare: 615.0, route_id: route_db78ea66_424_1767932356, route_type: Normal Route, fare_type: AC}]"
Balapitiya,Wattala,555.0,"[:Fare {fare: 555.0, route_id: route_db78ea66_425_1767932356, route_type: Normal Route, fare_type: AC}]"
Balapitiya,Katunayake,680.0,"[:Fare {fare: 680.0, route_id: route_db78ea66_423_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Mount Lavinia,480.0,"[:Fare {fare: 480.0, route_id: route_db78ea66_18_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Panadura,400.0,"[:Fare {fare: 400.0, route_id: route_db78ea66_19_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Kalutara,315.0,"[:Fare {fare: 315.0, route_id: route_db78ea66_20_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Aluthgama,210.0,"[:Fare {fare: 210.0, route_id: route_db78ea66_21_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Balapitiya,80.0,"[:Fare {fare: 80.0, route_id: route_db78ea66_22_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Matara,490.0,"[:Fare {fare: 490.0, route_id: route_db78ea66_461_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Ja Ela,645.0,"[:Fare {fare: 645.0, route_id: route_db78ea66_432_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Wattala,590.0,"[:Fare {fare: 590.0, route_id: route_db78ea66_433_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Katunayake,715.0,"[:Fare {fare: 715.0, route_id: route_db78ea66_431_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Dikwella,600.0,"[:Fare {fare: 600.0, route_id: route_db78ea66_460_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Beliatta,680.0,"[:Fare {fare: 680.0, route_id: route_db78ea66_459_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Ahangama,360.0,"[:Fare {fare: 360.0, route_id: route_db78ea66_462_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Walasmulla,765.0,"[:Fare {fare: 765.0, route_id: route_db78ea66_458_1767932356, route_type: Normal Route, fare_type: AC}]"
Ambalangoda,Makumbura,600.0,"[:Fare {fare: 600.0, service_type: Luxury, route_type: Southern Expressway, created_at: 2026-01-09T11:02:19.982000000Z, source: Expressway Fare Ad - 2024-10-02, fare_type: AC}]"
Hikkaduwa,Mount Lavinia,550.0,"[:Fare {fare: 550.0, route_id: route_db78ea66_24_1767932356, route_type: Normal Route, fare_type: AC}]"
Hikkaduwa,Panadura,470.0,"[:Fare {fare: 470.0, route_id: route_db78ea66_25_1767932356, route_type: Normal Route, fare_type: AC}]"
Hikkaduwa,Kalutara,380.0,"[:Fare {fare: 380.0, route_id: route_db78ea66_26_1767932356, route_type: Normal Route, fare_type: AC}]"
Hikkaduwa,Aluthgama,280.0,"[:Fare {fare: 280.0, route_id: route_db78ea66_27_1767932356, route_type: Normal Route, fare_type: AC}]"
Hikkaduwa,Balapitiya,180.0,"[:Fare {fare: 180.0, route_id: route_db78ea66_28_1767932356, route_type: Normal Route, fare_type: AC}]"
Hikkaduwa,Ambalangoda,140.0,"[:Fare {fare: 140.0, route_id: route_db78ea66_29_1767932356, route_type: Normal Route, fare_type: AC}]"
Hikkaduwa,Ja Ela,715.0,"[:Fare {fare: 715.0, route_id: route_db78ea66_441_1767932356, route_type: Normal Route, fare_type: AC}]"
Hikkaduwa,Wattala,660.0,"[:Fare {fare: 660.0, route_id: route_db78ea66_442_1767932356, route_type: Normal Route, fare_type: AC}]"
Hikkaduwa,Katunayake,780.0,"[:Fare {fare: 780.0, route_id: route_db78ea66_440_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Mount Lavinia,725.0,"[:Fare {fare: 725.0, route_id: route_db78ea66_39_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Panadura,645.0,"[:Fare {fare: 645.0, route_id: route_db78ea66_40_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Kalutara,555.0,"[:Fare {fare: 555.0, route_id: route_db78ea66_41_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Aluthgama,460.0,"[:Fare {fare: 460.0, route_id: route_db78ea66_42_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Balapitiya,360.0,"[:Fare {fare: 360.0, route_id: route_db78ea66_43_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Ambalangoda,320.0,"[:Fare {fare: 320.0, route_id: route_db78ea66_44_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Hikkaduwa,255.0,"[:Fare {fare: 255.0, route_id: route_db78ea66_45_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Ja Ela,890.0,"[:Fare {fare: 890.0, route_id: route_db78ea66_462_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Wattala,830.0,"[:Fare {fare: 830.0, route_id: route_db78ea66_463_1767932356, route_type: Normal Route, fare_type: AC}]"
Koggala,Katunayake,950.0,"[:Fare {fare: 950.0, route_id: route_db78ea66_461_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Mount Lavinia,800.0,"[:Fare {fare: 800.0, route_id: route_db78ea66_48_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Panadura,725.0,"[:Fare {fare: 725.0, route_id: route_db78ea66_49_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Kalutara,635.0,"[:Fare {fare: 635.0, route_id: route_db78ea66_50_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Aluthgama,535.0,"[:Fare {fare: 535.0, route_id: route_db78ea66_51_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Balapitiya,435.0,"[:Fare {fare: 435.0, route_id: route_db78ea66_52_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Ambalangoda,400.0,"[:Fare {fare: 400.0, route_id: route_db78ea66_53_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Hikkaduwa,335.0,"[:Fare {fare: 335.0, route_id: route_db78ea66_54_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Koggala,160.0,"[:Fare {fare: 160.0, route_id: route_db78ea66_56_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Ja Ela,965.0,"[:Fare {fare: 965.0, route_id: route_db78ea66_474_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Wattala,910.0,"[:Fare {fare: 910.0, route_id: route_db78ea66_475_1767932356, route_type: Normal Route, fare_type: AC}]"
Waligama,Katunayake,1030.0,"[:Fare {fare: 1030.0, route_id: route_db78ea66_473_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Mount Lavinia,890.0,"[:Fare {fare: 890.0, route_id: route_db78ea66_58_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Panadura,810.0,"[:Fare {fare: 810.0, route_id: route_db78ea66_59_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Kalutara,725.0,"[:Fare {fare: 725.0, route_id: route_db78ea66_60_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Aluthgama,620.0,"[:Fare {fare: 620.0, route_id: route_db78ea66_61_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Balapitiya,525.0,"[:Fare {fare: 525.0, route_id: route_db78ea66_62_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Ambalangoda,490.0,"[:Fare {fare: 490.0, route_id: route_db78ea66_63_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Hikkaduwa,425.0,"[:Fare {fare: 425.0, route_id: route_db78ea66_64_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Koggala,245.0,"[:Fare {fare: 245.0, route_id: route_db78ea66_66_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Waligama,165.0,"[:Fare {fare: 165.0, route_id: route_db78ea66_67_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Ja Ela,1050.0,"[:Fare {fare: 1050.0, route_id: route_db78ea66_487_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Wattala,995.0,"[:Fare {fare: 995.0, route_id: route_db78ea66_488_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Katunayake,1120.0,"[:Fare {fare: 1120.0, route_id: route_db78ea66_486_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Dikwella,190.0,"[:Fare {fare: 190.0, route_id: route_db78ea66_448_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Beliatta,270.0,"[:Fare {fare: 270.0, route_id: route_db78ea66_447_1767932356, route_type: Normal Route, fare_type: AC}]"
Matara,Walasmulla,360.0,"[:Fare {fare: 360.0, route_id: route_db78ea66_446_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Mount Lavinia,930.0,"[:Fare {fare: 930.0, route_id: route_db78ea66_69_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Panadura,855.0,"[:Fare {fare: 855.0, route_id: route_db78ea66_70_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Kalutara,765.0,"[:Fare {fare: 765.0, route_id: route_db78ea66_71_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Aluthgama,670.0,"[:Fare {fare: 670.0, route_id: route_db78ea66_72_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Balapitiya,570.0,"[:Fare {fare: 570.0, route_id: route_db78ea66_73_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Ambalangoda,535.0,"[:Fare {fare: 535.0, route_id: route_db78ea66_74_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Hikkaduwa,470.0,"[:Fare {fare: 470.0, route_id: route_db78ea66_75_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Koggala,290.0,"[:Fare {fare: 290.0, route_id: route_db78ea66_77_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Waligama,210.0,"[:Fare {fare: 210.0, route_id: route_db78ea66_78_1767932356, route_type: Normal Route, fare_type: AC}]"
Thihagoda,Matara,100.0,"[:Fare {fare: 100.0, route_id: route_db78ea66_79_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Mount Lavinia,985.0,"[:Fare {fare: 985.0, route_id: route_db78ea66_81_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Panadura,910.0,"[:Fare {fare: 910.0, route_id: route_db78ea66_82_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Kalutara,820.0,"[:Fare {fare: 820.0, route_id: route_db78ea66_83_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Aluthgama,725.0,"[:Fare {fare: 725.0, route_id: route_db78ea66_84_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Balapitiya,620.0,"[:Fare {fare: 620.0, route_id: route_db78ea66_85_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Ambalangoda,590.0,"[:Fare {fare: 590.0, route_id: route_db78ea66_86_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Hikkaduwa,525.0,"[:Fare {fare: 525.0, route_id: route_db78ea66_87_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Koggala,345.0,"[:Fare {fare: 345.0, route_id: route_db78ea66_89_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Waligama,270.0,"[:Fare {fare: 270.0, route_id: route_db78ea66_90_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Matara,180.0,"[:Fare {fare: 180.0, route_id: route_db78ea66_91_1767932356, route_type: Normal Route, fare_type: AC}]"
Kaburupitiya,Thihagoda,120.0,"[:Fare {fare: 120.0, route_id: route_db78ea66_92_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Mount Lavinia,1050.0,"[:Fare {fare: 1050.0, route_id: route_db78ea66_94_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Panadura,975.0,"[:Fare {fare: 975.0, route_id: route_db78ea66_95_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Kalutara,890.0,"[:Fare {fare: 890.0, route_id: route_db78ea66_96_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Aluthgama,790.0,"[:Fare {fare: 790.0, route_id: route_db78ea66_97_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Balapitiya,690.0,"[:Fare {fare: 690.0, route_id: route_db78ea66_98_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Ambalangoda,660.0,"[:Fare {fare: 660.0, route_id: route_db78ea66_99_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Hikkaduwa,590.0,"[:Fare {fare: 590.0, route_id: route_db78ea66_100_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Koggala,415.0,"[:Fare {fare: 415.0, route_id: route_db78ea66_102_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Waligama,335.0,"[:Fare {fare: 335.0, route_id: route_db78ea66_103_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Matara,245.0,"[:Fare {fare: 245.0, route_id: route_db78ea66_104_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Thihagoda,200.0,"[:Fare {fare: 200.0, route_id: route_db78ea66_105_1767932356, route_type: Normal Route, fare_type: AC}]"
Radhawela,Kaburupitiya,140.0,"[:Fare {fare: 140.0, route_id: route_db78ea66_106_1767932356, route_type: Normal Route, fare_type: AC}]"
Brukside Junction,Nuwaraeliya,190.0,"[:Fare {fare: 190.0, route_id: route_db78ea66_107_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Mawanalla,645.0,"[:Fare {fare: 645.0, route_id: route_db78ea66_356_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Brukside Junction,190.0,"[:Fare {fare: 190.0, route_id: route_db78ea66_109_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Padiyapalalla,210.0,"[:Fare {fare: 210.0, route_id: route_db78ea66_361_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Nuwaraeliya,300.0,"[:Fare {fare: 300.0, route_id: route_db78ea66_108_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Nittabuwa,940.0,"[:Fare {fare: 940.0, route_id: route_db78ea66_353_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Kiribathgoda,1100.0,"[:Fare {fare: 1100.0, route_id: route_db78ea66_351_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Yakkala,995.0,"[:Fare {fare: 995.0, route_id: route_db78ea66_352_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Warakapola,855.0,"[:Fare {fare: 855.0, route_id: route_db78ea66_354_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Kegalle,725.0,"[:Fare {fare: 725.0, route_id: route_db78ea66_355_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Haragama School,425.0,"[:Fare {fare: 425.0, route_id: route_db78ea66_358_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Kanda junction,345.0,"[:Fare {fare: 345.0, route_id: route_db78ea66_359_1767932356, route_type: Normal Route, fare_type: AC}]"
Walapane,Rikillagaskada,270.0,"[:Fare {fare: 270.0, route_id: route_db78ea66_360_1767932356, route_type: Normal Route, fare_type: AC}]"
Padiyapalalla,Mawanalla,510.0,"[:Fare {fare: 510.0, route_id: route_db78ea66_345_1767932356, route_type: Normal Route, fare_type: AC}]"
Padiyapalalla,Brukside Junction,320.0,"[:Fare {fare: 320.0, route_id: route_db78ea66_111_1767932356, route_type: Normal Route, fare_type: AC}]"
Padiyapalalla,Walapane,210.0,"[:Fare {fare: 210.0, route_id: route_db78ea66_112_1767932356, route_type: Normal Route, fare_type: AC}]"
Padiyapalalla,Nuwaraeliya,435.0,"[:Fare {fare: 435.0, route_id: route_db78ea66_110_1767932356, route_type: Normal Route, fare_type: AC}]"
Padiyapalalla,Nittabuwa,810.0,"[:Fare {fare: 810.0, route_id: route_db78ea66_342_1767932356, route_type: Normal Route, fare_type: AC}]"
Padiyapalalla,Kiribathgoda,965.0,"[:Fare {fare: 965.0, route_id: route_db78ea66_340_1767932356, route_type: Normal Route, fare_type: AC}]"
