origin,destination,fare,f
Nochchiyagama,Karuwalagaswawe,270.0,"[:Fare {fare: 270.0, route_id: route_db78ea66_382_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Mundalama,620.0,"[:Fare {fare: 620.0, route_id: route_cb15d6ac_25_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Mundalama,620.0,"[:Fare {fare: 620.0, route_id: route_db78ea66_73_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Mundalama,615.0,"[:Fare {fare: 615.0, route_id: route_db78ea66_145_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nochchiyagama,210.0,"[:Fare {fare: 210.0, route_id: route_cb15d6ac_27_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Nochchiyagama,210.0,"[:Fare {fare: 210.0, route_id: route_db78ea66_75_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nochchiyagama,200.0,"[:Fare {fare: 200.0, route_id: route_db78ea66_147_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Vennappuwa,900.0,"[:Fare {fare: 900.0, route_id: route_cb15d6ac_139_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Vennappuwa,900.0,"[:Fare {fare: 900.0, route_id: route_db78ea66_272_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Vennappuwa,940.0,"[:Fare {fare: 940.0, route_id: route_db78ea66_464_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Madurankuliya,555.0,"[:Fare {fare: 555.0, route_id: route_cb15d6ac_143_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Madurankuliya,555.0,"[:Fare {fare: 555.0, route_id: route_db78ea66_276_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Pallama,700.0,"[:Fare {fare: 700.0, route_id: route_db78ea66_467_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Adigama,635.0,"[:Fare {fare: 635.0, route_id: route_db78ea66_468_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Anamaduwa,555.0,"[:Fare {fare: 555.0, route_id: route_db78ea66_469_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kalaoya,300.0,"[:Fare {fare: 300.0, route_id: route_cb15d6ac_267_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Kalaoya,300.0,"[:Fare {fare: 300.0, route_id: route_db78ea66_333_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Panadura,1315.0,"[:Fare {fare: 1315.0, route_id: route_db78ea66_384_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Matale,755.0,"[:Fare {fare: 755.0, route_id: route_db78ea66_318_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Matale,715.0,"[:Fare {fare: 715.0, route_id: route_db78ea66_376_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nawula,615.0,"[:Fare {fare: 615.0, route_id: route_db78ea66_320_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nawula,570.0,"[:Fare {fare: 570.0, route_id: route_db78ea66_378_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Dambulla,470.0,"[:Fare {fare: 470.0, route_id: route_db78ea66_44_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Dambulla,500.0,"[:Fare {fare: 500.0, route_id: route_db78ea66_255_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Dambulla,510.0,"[:Fare {fare: 510.0, route_id: route_db78ea66_453_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kakirawa,345.0,"[:Fare {fare: 345.0, route_id: route_db78ea66_45_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kakirawa,390.0,"[:Fare {fare: 390.0, route_id: route_db78ea66_322_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kakirawa,380.0,"[:Fare {fare: 380.0, route_id: route_db78ea66_256_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kakirawa,390.0,"[:Fare {fare: 390.0, route_id: route_db78ea66_454_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Marawila,855.0,"[:Fare {fare: 855.0, route_id: route_cb15d6ac_140_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Marawila,855.0,"[:Fare {fare: 855.0, route_id: route_db78ea66_273_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Marawila,900.0,"[:Fare {fare: 900.0, route_id: route_db78ea66_465_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Chilaw,765.0,"[:Fare {fare: 765.0, route_id: route_db78ea66_72_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Chilaw,755.0,"[:Fare {fare: 755.0, route_id: route_db78ea66_144_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Chilaw,810.0,"[:Fare {fare: 810.0, route_id: route_db78ea66_466_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Ja Ela,1085.0,"[:Fare {fare: 1085.0, route_id: route_db78ea66_270_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Ja Ela,1130.0,"[:Fare {fare: 1130.0, route_id: route_db78ea66_462_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Wattala,1180.0,"[:Fare {fare: 1180.0, route_id: route_db78ea66_461_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Negambo,985.0,"[:Fare {fare: 985.0, route_id: route_db78ea66_143_1767932356, route_type: Normal Route, fare_type: AC}]"
